full_name,relative_url
AMIABLE LOGISTICS (I) LTD,https://www.upstox.com/stocks/amiable-logistics-i-ltd-share-price/INE0MTP01013/
AMI ORGANICS LIMITED,https://www.upstox.com/stocks/ami-organics-limited-share-price/INE00FF01017/
AMJ LAND HOLDINGS LIMITED,https://www.upstox.com/stocks/amj-land-holdings-limited-share-price/INE606A01024/
AMINES & PLASTICIZERS LTD,https://www.upstox.com/stocks/amines-plasticizers-ltd-share-price/INE275D01022/
AMRUTAJAN HEALTH LTD,https://www.upstox.com/stocks/amrutajan-health-ltd-share-price/INE098F01031/
ANAND RATHI WEALTH LTD,https://www.upstox.com/stocks/anand-rathi-wealth-ltd-share-price/INE463V01026/
ANANT RAJ LIMITED,https://www.upstox.com/stocks/anant-raj-limited-share-price/INE242C01024/
ANDHRA PAPER LIMITED,https://www.upstox.com/stocks/andhra-paper-limited-share-price/INE435A01051/
ANDHRA SUGARS LTD,https://www.upstox.com/stocks/andhra-sugars-ltd-share-price/INE715B01021/
ANGEL ONE LIMITED,https://www.upstox.com/stocks/angel-one-limited-share-price/INE732I01013/
ANIK INDUSTRIES LTD,https://www.upstox.com/stocks/anik-industries-ltd-share-price/INE087B01017/
ANLON TECHNOLOGY SOL LTD,https://www.upstox.com/stocks/anlon-technology-sol-ltd-share-price/INE0LR101013/
ANMOL INDIA LIMITED,https://www.upstox.com/stocks/anmol-india-limited-share-price/INE02AR01019/
ANNAPURNA SWADISHT LTD,https://www.upstox.com/stocks/annapurna-swadisht-ltd-share-price/INE0MGM01017/
ANTARCTICA LTD,https://www.upstox.com/stocks/antarctica-ltd-share-price/INE414B01021/
ANUH PHARMA LIMITED,https://www.upstox.com/stocks/anuh-pharma-limited-share-price/INE489G01022/
THE ANUP ENGINEERING LTD,https://www.upstox.com/stocks/the-anup-engineering-ltd-share-price/INE294Z01018/
ANUPAM RASAYAN INDIA LTD,https://www.upstox.com/stocks/anupam-rasayan-india-ltd-share-price/INE930P01018/
APAR INDUSTRIES LTD.,https://www.upstox.com/stocks/apar-industries-ltd-share-price/INE372A01015/
ANJANI PORTLAND CEM LTD,https://www.upstox.com/stocks/anjani-portland-cem-ltd-share-price/INE071F01012/
APCOTEX INDUSTRIES LIMITE,https://www.upstox.com/stocks/apcotex-industries-limite-share-price/INE116A01032/
APEX FROZEN FOODS LIMITED,https://www.upstox.com/stocks/apex-frozen-foods-limited-share-price/INE346W01013/
APEX ECOTECH LIMITED,https://www.upstox.com/stocks/apex-ecotech-limited-share-price/INE0T4V01015/
APL APOLLO TUBES LTD,https://www.upstox.com/stocks/apl-apollo-tubes-ltd-share-price/INE702C01027/
ALEMBIC PHARMA LTD,https://www.upstox.com/stocks/alembic-pharma-ltd-share-price/INE901L01018/
APOLLO MICRO SYSTEMS LTD,https://www.upstox.com/stocks/apollo-micro-systems-ltd-share-price/INE713T01028/
APOLLO HOSPITALS ENTER. L,https://www.upstox.com/stocks/apollo-hospitals-enter-l-share-price/INE437A01024/
APOLLO PIPES LIMITED,https://www.upstox.com/stocks/apollo-pipes-limited-share-price/INE126J01016/
APOLLO TYRES LTD,https://www.upstox.com/stocks/apollo-tyres-ltd-share-price/INE438A01022/
APOLLO SINDOORI HOTEL LTD,https://www.upstox.com/stocks/apollo-sindoori-hotel-ltd-share-price/INE451F01024/
APTECH LIMITED,https://www.upstox.com/stocks/aptech-limited-share-price/INE266F01018/
APTUS VALUE HSG FIN I LTD,https://www.upstox.com/stocks/aptus-value-hsg-fin-i-ltd-share-price/INE852O01025/
